sampleid,sample_type,study,transit,swab_type,filter_type,location,boat,time,collection_order
c1t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_1
c1t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_1
c1t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_1
c1t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_1
c1t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_1
c1t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_1
c1t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_1
c1t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_1
c1t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_1
c1t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_1
c1t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_1
c20t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_20
c20t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_20
c20t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_20
c20t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_20
c20t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_20
c20t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_20
c20t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_20
c20t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_20
c20t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_20
c20t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_20
c20t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_20
